Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
167,113,https://github.com/quarkiverse/quarkus-flow/issues/167,docs: Draft an ADR / design doc for domain keys and correlation metadata in Quarkus Flow,mcruzdev,,Docs,Major,,2026/Q2,S,0.0,0.0,2026-03-18,,
192,,https://github.com/quarkiverse/quarkus-flow/issues/192,bug: UnsatisfiedResolutionException when the Flow subclass with @Transaction annotation,mcruzdev,,Runtimes,Major,,2026/Q1,M,1.0,1.4,2026-03-18,,
193,,https://github.com/quarkiverse/quarkus-flow/issues/193,docs: Question about messaging defaults,mcruzdev,,Docs,Normal,,2026/Q1,M,0.2,0.2,2026-03-18,,
201,,https://github.com/quarkiverse/quarkus-flow/issues/201,feat: Provide a SPI implementation of JWTConverter,mcruzdev,,Runtimes,Major,,2026/Q1,XS,0.4,0.4,2026-03-18,,
203,,https://github.com/quarkiverse/quarkus-flow/issues/203,feat: Improve test coverage for metrics feature,domhanak,,QE,Normal,,2026/Q1,XS,0.2,0.2,2026-03-18,,
209,,https://github.com/quarkiverse/quarkus-flow/issues/209,feat: Cover io.quarkiverse.flow.internal.WorkflowNameUtils with unit test,domhanak,,QE,Normal,,2026/Q1,S,0.2,0.4,2026-03-18,,
213,,https://github.com/quarkiverse/quarkus-flow/issues/213,bug: WARN for duplicated workflow reference false positive when using `langchain4j`,ricardozanini,,Runtimes,Normal,,2026/Q1,L,1.0,1.0,2026-03-18,,
22,3,https://github.com/quarkiverse/quarkus-flow/issues/22,feat: Execute a Workflow through DevUI,mcruzdev,,Tooling,Major,,2026/Q2,L,1.0,1.0,2026-03-18,,
229,,https://github.com/quarkiverse/quarkus-flow/issues/229,bug: Failed to process extension descriptor,mcruzdev,,Runtimes,Major,,2026/Q1,XS,0.2,0.2,2026-03-18,,
232,,https://github.com/quarkiverse/quarkus-flow/issues/232,Avoid building workflow instance on every `FlowPlanner` call,ricardozanini,,Runtimes,Blocker,,2026/Q1,L,2.0,2.0,2026-03-18,,
